remitente v (relacionado  ID);Detalle
ada55aae-77fb-4bbd-5b89-5ba340e4f20c;SOLICITA  APOYO PARA EL III FESTIVAL DE  TRUCHA Y ALEVINOS PULERA.
78f620f7-f8af-6da8-8155-5989223d753e;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE NOVIEMBRE Y DICIEMBRE DEL 2017. ALDO  A.  UMASI LABRA.
fe6508ba-bda8-ba6b-eadf-55808535d695;REMITE OFICIO N¯ 021-COMUNIDAD CAMPESINA DE URINSAYA 2018.
5fb10997-5582-bb46-6c27-561d627e83f5;"SOLICITA  CONSIDERACION DE CONSTRUCCION DE   VEREDAS  EN EL PERIMETRO DE DE CADA VIVIENDA  DE LOS BENEFICIARIOS  DEL PROYECTO ""CONSTRUCCION DE VIVIENDAS EN JAYUNI"". "
69875fcf-2fd1-c85f-29d9-55808f918c80;PRESENTA ESTUDIO DE PREINVERSION MEJORAMIETNO DE LOS SERVICIOS EDUCATIVOS EN LA IE 201303 MINERO LOS ANDES C.C. ECHOCOLLO SUYKUTAMBO PARA SU FINANCIAMIENTO
2e43d708-7ebe-881e-52b8-56737885081c;COMUNIDAD CAMPESINA ICHOCCOLLO SOLICITA  JUGUETES Y APOYO PARA CHOCOLATADA POR FIESTAS DE NAVIDAD Y A•O NUEVO. PARA TODOS LOS PADRONADOS  400 NI•OS Y 200 ANCIANOS.
90aa50aa-9877-5466-4465-5564955db14b;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE JUNIO Y JULIO  DEL 2018. JAMES  W. CCAPA SAICO.
33300610-1880-5575-09f0-55ad1caa2278;SOLICITA  REPOSICION DE  AGUA  EN TODOS  SUS  MANANTIALES  ASI MISMO  INDICA QUE SE ENCUENTRA   AFECTADO POR LOS TRABAJOS  DE  OPERACIONES  DIARIAMENTE.
e2dc7faf-7f7e-9d3b-4cab-5c64d0f3a6a1;SOLICITA  APOYO CON PREMIOS, PARA LA FERIA COMUNAL HANCCAMAYO  - 2019.
9f9ee436-d026-e2ed-6110-55f0b399911a;SOLICITA Y ADJUNTA COTIZACION PARA COMPRA  DE ECOGRAFO CON FUNCION DOPPLER - PARA PUESTO DE  SUCKUYTAMBO Y CONDOROMA.
d496e0b3-c12a-9498-d9c1-558cb96980b7;SOLICITA REUNION SOBRE DOCUMENTOS PRESENTADOS Y NO HAN SIDO ATENDIDOS 
ef5af48e-287f-df84-f72f-5c5b0895710a;SOLICITA FINANCIAMIENTO ECONOMICO  PARA EL CONCURSO CARNAVALESCO  CHUKOS  Y SOLTERAS  EN COMADRES  JUEVES 2020.
8c78f552-d3c6-b80a-f02f-55649563b52f;FREDERMICE SOLICITA VERIFICACION DE AGUA  Y PASTOS MEJORADOS EN LA IRRIGACION URBAYA.EN VISTA QUE SON AFECTADO DE ACUERDO A  LOS AFOROS REALIZADOS POR LA AUTORIDAD LOCAL DE AGUA. EL CAUDAL HA DISMINUIDO EN UN 85% EL CAUDAL DE LA IRRIGACION EN MENCION E IGUALMENTE LA PRODUCCION DE LECHE EN UN 70%.   POR ELLO APROBARON EN REUNION POR UNANIMIDAD LA VERIFICACION INMEDITA.
;INVITA A FIESTA DE PROMOCION DE AULA  5TO A•O INICIAL LLEVARSE EL DIA JUEVES 12 DE DICIEMBRE DEL PRESENTE A•O.
34a7e38b-d9bb-4a36-41a5-55f97f110d22;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE  MARZO A MAYO DEL 2019. NATALY TANCAYLLO SUPHO.
f10e94a6-acc9-3b1f-3011-5b3d8b5e03cb;SOLICITA APOYO PARA LA PREMIACION EN DIFERENTES ACTIVIDADES POR EL ANIVERSARIO DE LA ORGANIZACION. LLEVARSE LOS DIAS 28  Y 29  DE JULIO DEL PRESENTE A•O.
8987087f-7974-1dd3-86e6-5b2ae10b61f3;"SOLICITA  PREMIOS  Y ESTIMULOS  PARA EL "" I FESTIVAL  DE LLAMAS  INTERDISTRITAL  Y  XV  FERIA  PAQOCHA  RAYMI  JATTARANA - 2018"". LLEVARSE  LOS DIAS 01  Y 02  DE  AGOSTO DEL PRESENTE A•O."
fcea068b-42ff-e350-5c6b-59408348de37;MANIFIESTA  Y COMUNICA  RESPECTO A LA CARTA EN REFERENCIA:  GLO -519/17.
d7dfc0db-f27d-65f0-313d-55a6ade4a2e7;SOLICITA PAGO DE ESTUDIO BECARIO MARIA CHACALLA ALVAREZ. JUNIO
23083fe0-62f5-9997-6a4a-55d3a2c7a27c;SOLICITA  DONACION DE MADERA EN  DESUSO, PARA UTILIZAR  COMO  LE•A.   PEDIDO A  RAZON POR  CARGO DE CCAPERO PARA SANTISIMA CRUZ  DE TINTAYA MARQUIRI.
13ef0390-8ec9-0732-0cf4-57463f0c805d;SOLICITA  UNA  CAPACITACION SOBRE  EMPRENDIMIENTO EMPRESARIAL PARA  EL DESARROLLO  Y BIENESTAR DE LA COMUNIDAD.
74f4d5d3-0f2c-8c31-d6d8-55fad99163be;"COMUNIDAD  CAMPESINA  KANAMARCA.  HACE NOMBRAMIENTO COMO PADRINO GENERAL A LA EMPRESA ANTAPACCAY PARA EL ""VI EXPO FESTIVAL AGROPECUARIO, COMERCIAL, TURISTICO Y ARTESANAL , KANAMARCA 2015"", QUE SE LLEVARA ACABO LOS DIAS 25 Y 26 DE DICIEMBRE DEL 2015. POR  MOTIVOS DE SU ANIVERSARIO DE LA COMUNIDAD."
6ab4011a-5510-8db6-7d67-5a174a580b35;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE OCTUBRE Y  NOVIEMBRE DEL 2019.  GARY UMASI  WILLCA.
83742b8a-e072-908a-8227-597154d8bf33; SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE  ABRIL, MAYO Y JUNIO  DEL 2017.  AYDEE  CCAPA  SAICO.
7ae48d52-304d-dcd1-f79a-5cf959877ef7;SOLICITA  VISITA GUIDA A LAS INSTLACIONES DE  OPERACIONES Y  MEDIO  AMBIENTE DE ANTAPCCAY
8481776a-5ab7-85ad-ea94-556495207601;SOLICITA  APOYO CON DONACION DE MADERA EN DESUSO, 02  VIAJAES.
9cc90b03-343e-d323-962e-5ae964ab300a;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE AGOSTO A  NOVIEMBRE DEL 2018.JOSUIZ  SAHUINCO  CUTI.
b00b77ad-f909-e344-a58a-592fa6688760;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE  NOVIEMBRE Y DICIEMBRE DEL 2017.  IRMA R. CCOLLQUE SENCIA.
d0b5f178-4cc5-e09c-48c5-5c74c4c729c9;NOMBRA PADRINO PARA EL EVENTO CARNAVALESCO 2019.
876706ca-7c35-2b4b-0081-558080d71fd6;SOLICITA CUMPLIMIENTOS DE COMPROMISOS DE PARTE DE LA EMPRESA POR VENTA DE TERRENOS, POR LO CUAL SOLICITA DIALOGO CASO CONTRARIO AMENAZAN CON ACTUAR POR LA FUERZA
2859d40f-dd03-9fdc-f8b1-565f17b9ebb2;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE  DICIEMBRE EL 2019.  ANABEL CHA•I CCORIMANYA.
eb94a623-ef5c-1001-0e1d-55f997291254;SOLICITA APOYO  CON PREMIOS  PARA EL FESTIVAL CONCURSO  CARNAVALESCO  DE CHUKOS  Y SOLTERAS  HUILLCARANI - 2018.
ef4aa4d4-dd5c-853f-9c7a-5aeca7b54873;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE SEPTIEMBRE   DEL 2018. WILLIANS SAUL CHIRME YUCRA.
de95f661-7f1b-c0a9-b2fc-5564950d679b;ADJUNTA LISTA PADRON ASOCIADOS
2ab33ec0-6bf5-1fda-af55-55a53cd7a954;SOLICITA  AMPLIACION DE PASE  DE PROVEEDOR PARA EL PERSONAL DE TIENDA COMERCIAL DE CAMPAMENTO 3.
def91532-9208-7d9d-731f-578d6dff9e84;SOLICITA  UNA  REUNION CON GERENCIA, PARA DIA 06 DE MAYO DEL PRESENTE.  PARA TRATAR SOBRE VULNERACION  DE PROPIEDAD.
6dce236e-8c68-a350-f937-55a690f5e312;SOLICITA APOYO CON VIVERES Y MATERIALES PARA PERSONAS CON DISCAPACIDAD DE 25 COMUNIDADES Y 4 CENTROS POBLADOS, EMPADRONADOS EN OMAPED, MENCIONAN DE INCUMPLIR LEY 29973, SERµN SANCIONADOS Y DENUNCIADOS ANTE AUTORIDAD COMPETENTE Y ESTµ FOCALIZADO DENTRO DE EXTREMA POBREZA EN NIVEL 1
9fb2c17d-e75d-e198-456a-588921274352;HACE  RECUERDO LOS  PENDIENTES SOBRE   EL TEMA DE CAPACITACIONES PARA  LOS JOVENES DE LA COMUNIDAD,  EN AREAS DE MAQUINARIA PESADA,  SOLDADURA ELECTRICA, Y  MECANICA  AUTOMOTRIZ.
cf245de2-7612-5325-bbdb-5564957e4ed2;"REMITE  RESPUESTA    A CARTA GLO-532/2016 INDICA  QUE RECHAZAN CONTUNDENTEMENTE LA PROPUESTA  DE CONTINUAR CON ESPACIO DE DIALOGO  DE  FECHA 27 DEL PRESENTE SIN LA PRESENCIA DEL GERENTE  GENERAL DE LA COMPA•IA ANTAPACCAY.
ASI MISMO   SOLICITA PROGRAMACION CON PRESENCIA DE  GERENCIA GENERAL Y QUE SE COMUNIQUE POR MEDIO REGULAR  ANTES DE  REUNION  COMUNAL DE LUNES 26 DEL PRESENTE."
a74d09c3-2641-0118-eacd-59b9d20ef868;SOLICITA APOYO  CON  PREMIOS  PARA ACTIVIDADES DE ANIVERSARIO  LLEVARSE A  CABO EL DIA 16 DE OCTUBRE DEL PRESENTE  A•O.
5bd27bdb-b22a-bf29-dce6-575071071020;SOLICITA DIALOGO POR  IMPACTO AMBIENTAL, INDICA POR MOTIVOS DE  TRASLACION DE  MINERAL  QUE  AFECTA  LA SALUD DE LAS PERSONAS, MORTANDAD DE ANIMALES, AGUA  DE CONSUMO ANIMAL  Y PERSONAS.
c8dcbe51-a7b6-2a10-ed6c-573a6f3ada11;SOLICITA REEMBOLSO DE  BECA DE ESTUDIOS CORRESPONDIENTE A MES DE  JULIO DEL  2016.  EDWIN EMETERIO CCORAHUA CHILO.
1a091485-2123-e072-0e1d-55a53b5e7b79;SOLICITA DONACION DE MADERAMEN  DE SEGUNDO USO  PARA RING DE JUZGAMIENTO DE  LA  VI  FESTIVAL  REGIONAL  DE GANADO  LECHERO HUISA  CCOLLANA -2016. LLEVARSE EL 10 Y 11 DE JUNIO DEL PRESENTE.
90c6701f-a4df-e52b-a9b4-582a45761065;PETICIONA INTERMEDIAR PARA QUE LA  EMPRESA  FYM  REPRESENTADO POR  SU GERENTE  GENERAL RAUL CHOQUEPUMA  UMASI, PARA  QUE CUMPLA  CON SUS  OBLIGACIONES  CONTACTUALES  ASUMIDAS  CON TERCEROS.   INDICA QUE LA  EMPRESA  FYM ADEUDA DEL SERVICIO  REALIZADO EN FECHA 17 DE  AGOSTO DEL  2016.
c22a8286-9b16-ea76-9fa9-5c46861fc335;SOLICITA  UNA REUNION  CON LA  JUNTA DIRECTIVA  DE LA COMUNIDAD, PARA TRATAR  ASUTOS PENDIENTES.  FECHA  PROPUESTA 27 DE ENERO DEL PRESENTE A•O.
fe6508ba-bda8-ba6b-eadf-55808535d695;"SOLICITA  DESEMBOLSO  PARA EL  PROYECTO "" REFORZAMIENTO DE  RED  MEDIA TENSION  DE MULTEATERRADO  A  TRIFASICO  DEL SECTOR CHICTA DE LA  COMUNIDAD CAMPESINA DE  HUISA"""
ab7172b1-9274-bc0a-e8c3-5c4fc16343f4;SOLICITA REMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE ABRIL, MAYO Y JUNIO DEL 2019. DAVID  V.   TINTA.
d496e0b3-c12a-9498-d9c1-558cb96980b7;SOLICITA PREMIOS  Y ESTIMULOS  PARA EL CAMPEONATO VERANO INTERSECTORIAL  DE  DAMAS  Y VARONES, ALTO HUANCANE  2016. 
71e43e00-cbec-7905-e23a-5716e356449a;NOMBRA PADRINO PARA LA  XI FERIA  COMUNAL  VII FERIA INTER  COMUNAL  AGROPECUARIA  ARTESANAL   V  FESTIVAL  DE PAPAS  NATIVAS  XI  FERIA  COMUNAL APACHACO. LLEVARSE A CABO DESDE EL 01 AL 03 DE JUNIO DEL 2016. EN LOCAL COMUNAL DE  APACHACO.
66da2e53-baf2-7a2b-be92-57d73aba76f7;SOLICITA PAGO POR  SERVICIO DE  REGADIO DE  CARRETERA CORRESPONDIENTE AL  MES DE  AGOSTO DEL  2018.
9c79d92f-059d-f957-c356-55649565fc9f;SOLICITA APOYO DE MAQUINARIAS PARA LA APERTURA DE LAS POZAS DEL RELLENO SANITARIO Y ARREGLO DE ALGUNAS TROCHAS CARROZABLES DEL DISTRITO DE CONDOROMA
164cf6b5-1543-8d98-08ee-595ea9c7b8aa;SOLICITA  APOYO CON REFRIGERIOS  Y BEBIDAS REHIDRATANTES  PARA  DELEGACION DE  ESTUDIANTES  COAR   CUSCO  QUE PARTICIPARAN  EN LA ETAPA  REGIONAL  DE LOS JUEGOS  DEPORTIVOS  ESCOLARES  NACIONALES  2017.
77668540-8c53-628d-087d-593b6dfc5ab7;SOLICITA   RESPUESTA DE LOS PEDIDOS DE  PROMOTORES  AGROPECUARIOS DE LAS REUNIONES ENTABLADAS EL 25 DE MARZO  Y 18 DE JUNIO DEL PRESENTE A•O.
6a83e116-fb8c-fa3b-b06d-564e915b1b25;SOLICITA INICIO  INMEDIATO DE REGADIO  DE  CARRETERA  TINTAYA -  CRUCE   QUECHUAS  -  VIA   AREQUIPA.  SOLICITUD  REIETERATIVA  E INDICA  QUE  POR AUSENCIA DE  LLUVIA  ESTA GENERANDOSE POLUSION.
30270ee9-7d24-8fb7-8041-56030ff186a6;SOLICITA MADERA PARA LE•A, PARA MATRIMONIO EN OCTUBRE 2015
e17333a5-205c-7462-3812-573a6ec8d196;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE  OCTUBRE  DEL PRESENTE A•O. ROSA  LUZ  UMASI TANCAYLLO.
8c78f552-d3c6-b80a-f02f-55649563b52f;SOLICTA REUNION Y PASANTIA EN LA CUENCA DE CA•IPIA
737da427-4e71-e5f7-4112-5768a0837a22;SOLICITA REEMBOLSO  DE BECA DE ESTUDIOS, CORRESPONDIENTE A MES DE MARZO, ABRIL, MAYO Y  JUNIO  DEL 2016.DINA HUILLCA  PUMACHARA.
b61c89b6-3930-7c04-34a8-5bd90021456e;"SOLICITA TRANSFERENCIA DE PRESUPUESTO PARA LA EJECUCION DEL PROYECTO: ""MEJORAMIENTO DE LA PRODUCCION AGROPECUARIA MEDIANTE LA INSTALACION DE MINI ESTABLOS PARA LA SEGURIDAD ALIMENTARIA DE LAS  FAMILIAS DE LA COMUNIDAD  HUARCA - ESPINAR - CUSCO""."
d62b401b-a490-9a49-6bd9-57634216e440;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE ENERO DEL 2019. DANU I. CHULLO  HUAMANI.
d496e0b3-c12a-9498-d9c1-558cb96980b7;SOLICITA RESPUESTA A DOCUMENTOS PRESENTADOS SOBRE EMPRESAS COMUNALES, CONVOCATORIA, CAPACITACI‡N Y APOYO SOCIAL
afb58798-0b0a-b192-a2af-5a13a1dbbccc;SOLICITA UN MESA DE DIALOGO PARA LA FIRMA DE UN ACUERDO DE CONVIVENCIA ENTRE LA EMPRESA Y LA COMUNIDAD DE ALTO HUANCANE
dc430e79-4d94-1cc0-a7d3-5768b2059c0e;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE  OCTUBRE DEL 2019. CLAUDIO  GUTIERREZ  COLCA.
d3026712-03db-5842-6b2e-564ea2247c6e;SOLICITA   JUGUETES PARA LOS  NI•OS Y CHOCOLATADA MAS  PANETON PARA LAS MADRES.
35275249-ba83-de82-9468-582e29d7b92b;SOLICITA COLABORACION CON REGALOS DE   NAVIDAD PARA LOS  EDUCANDOS DE LA INSTITUCION EDUCATIVA. LO CUAL  CONSTA  DE   20 •INOS  EN TOTAL .
3ffcf1ae-4442-9f14-cec8-55a57f9b4e22;BECA CARLOS MENDOZA SUCRO, NOV 2015, 2168.00
897f62db-1dc2-c5da-78f3-55c7dd3d8825;"SOLICITA TRANSFERENCIA DE PRESUPUESTO DE ACUERDO A LOS TERMINOS DE REFERENCIA APROBADO POR COMITE DE  GESTION DE CONVENIO MARCO.  PROYECTO  ""CREACION DE ATAJOS RESERVORIOS RUSTICOS PARA LA  COSECHA DE AGUAS PLUVIALES EN LA COMUNIDAD  CAMPESINA DE CHELLQUE - PICHIGUA - ESPINAR""."
50750641-1ffc-217d-7fb9-556eaae81d18;SOLICITA  APOYO ECONOMICO  PARA LA FESTIVIDAD  DE LA  VIRGEN DE LA  MERCED  DE LA COMUNIDAD  ALTO HUARCA.
29b176a8-f1a8-0c2c-f6de-55e4de2a30cf;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE   ABRIL DEL 2018.  CLAUDIA HOLGUINO  CHULLO.
e5ec9735-fd51-ab0f-0f2a-556495302db6;SOLICITA FINANCIMIENTO PARA V FERIA AGROPECUARIA COMERCIAL INTERCOMUNAL, VIII FERIA COMUNAL Y VII FESTIVAL DE LA PAPA ANDINA APACHILLANCA -2015 Y XXVIII ANIVERSARIO DE LA CC., 12-13 DE JUNIO DE 2015
1de2648c-2f4d-c6ba-7aee-5876aac821c5;SOLICITA  REUNION  DE URGENCIA  DEL COMITE MULTISECTORIAL, PARA  EL DIA MARTES  17 DE OCTUBRE DEL PRESENTE A•O, A HORAS  09:00 AM. EN  LOCAL DEL  CREE.
cf245de2-7612-5325-bbdb-5564957e4ed2;INFORMA SOBRE EL DOCUMENTO ENVIADO DE LA EMPRESA  DE FECHA 31-03-2016 N¯ 0046 DE OPORTUNIDAD DE  CAPACITACION DE  TRES ESPECIALIDADES, FUE  RECHAZADO  UNANIMENTE  EN REUNION LLEVADA EN LA COMUNIDAD. ASI MISMO  SOLICITA  FIEL  CUMPLIMIENTO A CONVENIO DE AMBAS  PARTES  Y PROGRAMAR UNA REUNION DE EMERGENCIA PARA CONSENSUAR   Y HACER LLEGAR  A  UN ACUERDO.
9c79d92f-059d-f957-c356-55649565fc9f;SOLICITA DONACION  DE MATERIALES  DESAPROVECHADOS (CHATARRAS) COMO EQUIPOS DE OFICINA, MUEBLES, HERRAMIENTAS, FIERROS, MADERAMEN, GEOMEMBRANAS  Y OTROS.
5f753905-0a46-3e0e-6e3e-586ad80ea60b;SOLICITA  CUMPLIMIENTO  DE REPOSICION  DE AGUA  EN LOS SISTEMAS  DE RIEGO DE LA CUENCA  CCA•IPIA - FREDERMICE.
2c7bc092-3d17-00af-f039-55908ef26531;"SOLICITA   DIALOGO  SOBRE  TEMAS A TRATAR:
- CONVENIO  MARCO
- CAPACITACION JOVENES 
- ALIMENTOS  BALANCEADOS  Y OTROS."
61cba832-a63a-cafb-3c57-55fad19a02f1;"TRANSFERENCIA DE FONDOS PARA FINANCIAMIENTO DEL PROYECTO ""FORTALECIMIENTO EN MECANIZACION AGR÷COLA PARA EL DESARROLLO AGROPECUARIO DE LA COMUNIDAD DE TARUCUYO-ESPINAR"" DEL VII APORTE DEL CONVENIO MARCO.  LOS ADJUNTOS SE ENTREGA EN F÷SICO A JUAN CARLOS EGUILUZ."
e31c22d3-26db-26aa-a3d3-5853198f0b16;"REMITE ENTREGA DE ESTUDIOS DE PRE  INVERSION (CREACION  DE INFRAESTRUCTURA PECUARIA  Y CREACION DE  RESERVORIOS  FAMILIARES PARA COSECHA DE  AGUA, EN LAS  COMUNIDADES  DE KANAMARCA,  CCAHUAYA,  MOLLOCCAHUA Y CCOLLANA DEL DISTRITO DE ALTO PICHIGUA- ESPINAR - CUSCO""."
2df7f835-8199-b906-4eaa-5be27175bacf;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE SEPTIEMBRE   Y   OCTUBRE DEL 2018.  YANET HILDA UMASI THAQUIMA.
1b2af629-ff4f-c523-292f-5b3c71b7fc7d;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE  AGOSTO  A NOVIEMBRE DEL 2018. YVAN  CARLOS.
fe6508ba-bda8-ba6b-eadf-55808535d695;SOLICITA INFORME  DETALLADO DE  RENDICION DE GASTOS ADMINISTRATIVOS Y  OPERATIVOS  REALIZADOS POR PARTE DE LA ASOCIACION  CIVIL  CONVENIO  MARCO CON LOS  APORTES DEL 8VO  Y 9NO  DEL CONVENIO  MARCO.  PARA  SU EVALUACION CORRESPONDIENTE, POR  PARTE DE LA SUB COMISION.
2d6bb977-a5b4-66c5-15b5-589a19d9f683;SOLICITA  APOYO CON MATERIALES  DE  CONSTRUCCION, PARA REFACCION DE LA IGLESIA CATOLICA.
c40f975d-8e4f-77a4-08b4-586fd0a9baa5;SOLICITA  DONACION DE MATERIALES COMO  GEOMEMBRANA  Y OTROS  DE SEGUNDO  USO.
cc6190cd-86f9-9b2b-ddc2-556495662a94;SOLICITA A GCIA. GRAL., SE•ALAR D÷A Y HORA PARA AUDIENCIA, TRATO DIRECTO, COMO DE INFLUENCIA DIRECTA.  HACE REFERENCIA A EIA, PLAN DE CIERRE DE MINA E INDICAN, LA RESPUESTA O NOTIFICACI‡N HACER LLEGAR A LA MISMA COMUNIDAD CAMPESINA DE HUANCANê BAJO, CELULAR 992239338 Y MENCIONAN, ES LA 3RA VEZ QUE ENV÷AN ESTE DOCUMENTO
dea7f0ba-6a10-6d6b-784e-556495064b1d;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE ABRIL DEL 2018. FRANK E.  CHUCTAYA  RAMIREZ.
2ab33ec0-6bf5-1fda-af55-55a53cd7a954;SOLICITA  AMPLIACION DE CONTRATO  DE LA  TIENDA  CAMPAMENTO N¯ 03  DE  01.03.2019 AL 01.02.2020.
98534c89-b4a3-337a-b84e-586d8423d433;SOLICITA RESPUESTA  A  CARTA SOBRE EL SERVICIO DE CIERRE DE MINA. INDICA QUE TIENE FORMADO SU COMITE EMPRESARIAL.
82b40c79-46c3-71bf-2a3b-576b24a86a0e;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS, CORRESPONDIENTE AL MES DE MAY, JUN, JUL Y  AGOSTO  DEL 2016. DEYSI  JENNIFER  HUISA  GARCIA.
cf245de2-7612-5325-bbdb-5564957e4ed2;SOLICITA FONDO ECONOMICO PARA REALIZAR UN DIAGN‡STRICO SITUACIONAL DE LA COMUNIDAD DE ALTO HUARCA  Y PARA ELABORAR PERFIL DE PROYECTOS, DEL CONVENIO DE COOPERACION CELEBRADO ENTRE LA EMPRESA MINERA Y COMUNIDAD
e260ae23-b49b-d96e-fb23-5949ec36f104;SOLICITA REEMBOLSO DE BECA DE ESTUDIOS CORRESPONDIENTE AL MES DE DICIEMBRE DEL 2018. 
e5751a73-30a4-68c5-2175-55a53ffe355b;"SOLICITA APOYO CON  MADERAMEN Y TUBOS DE 8"", 10"" , 12"" EN NUMERO DE 10 TUBOS EN   CALIDAD DE DESUSO,  PARA EL PASE  DE AGUAS  PLUVIALES."
